Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
373,A.J. Price,PG,28,PHO,44,3,14,0,0,5,6
63,Aaron Brooks,PG,30,CHI,1885,344,817,145,174,189,954
176,Aaron Gordon,PF,19,ORL,797,93,208,44,61,83,243
362,Adreian Payne,PF,23,MIN,720,89,213,29,44,84,208
222,Al Horford,C,28,ATL,2318,519,965,107,141,121,1156
236,Al Jefferson,C,30,CHO,1992,486,1010,108,165,139,1082
12,Al-Farouq Aminu,SF,24,DAL,1366,147,357,84,118,137,412
15,Alan Anderson,SG,32,BRK,1744,195,440,82,101,148,545
72,Alec Burks,SG,23,UTA,899,121,300,106,129,64,374
264,Alex Kirk,C,23,CLE,14,1,4,2,2,1,4
279,Alex Len,C,21,PHO,1518,179,353,73,104,213,432
408,Alexey Shved,SG,26,NYK,423,73,181,64,82,25,236
6,Alexis Ajinca,C,26,NOP,957,181,329,81,99,151,443
106,Allen Crabbe,SG,22,POR,683,63,153,12,16,74,168
169,Alonzo Gee,SF,27,POR,151,21,49,6,12,16,51
427,Amar'e Stoudemire,PF,32,DAL,380,104,179,40,59,50,248
243,Amir Johnson,PF,27,TOR,1979,298,519,79,129,225,694
453,Anderson Varejao,C,32,CLE,636,111,200,33,45,58,255
120,Andre Dawkins,SG,23,MIA,22,1,6,0,0,3,3
135,Andre Drummond,C,21,DET,2502,494,961,142,365,285,1130
228,Andre Iguodala,SG,31,GSW,2069,231,496,68,114,100,604
318,Andre Miller,PG,38,SAC,622,68,148,30,38,47,172
386,Andre Roberson,SG,23,OKC,1286,92,201,23,48,141,228
31,Andrea Bargnani,C,29,NYK,785,164,361,87,107,53,430
263,Andrei Kirilenko,SF,33,BRK,36,0,5,3,4,1,3
55,Andrew Bogut,C,30,GSW,1583,200,355,22,42,188,422
342,Andrew Nicholson,PF,25,ORL,492,83,190,15,25,51,194
473,Andrew Wiggins,SG,19,MIN,2969,497,1137,354,466,190,1387
45,Anthony Bennett,PF,21,MIN,894,125,297,41,64,87,298
117,Anthony Davis,PF,21,NOP,2455,642,1199,371,461,141,1656
333,Anthony Morrow,SG,29,OKC,1806,285,615,79,89,135,790
445,Anthony Tolliver,PF,29,DET,1160,135,319,50,63,117,402
175,Archie Goodwin,SG,20,PHO,535,79,201,61,83,55,231
353,Arinze Onuaku,C,27,MIN,68,12,14,3,8,6,27
39,Aron Baynes,C,28,SAS,1122,185,327,90,104,162,461
5,Arron Afflalo,SG,29,POR,752,94,227,40,47,59,264
121,Austin Daye,SF,26,ATL,76,10,26,1,2,9,26
385,Austin Rivers,PG,22,LAC,791,117,274,32,55,81,291
60,Avery Bradley,SG,24,BOS,2428,434,1012,79,100,177,1071
177,Ben Gordon,SG,31,ORL,790,129,295,56,67,60,349
311,Ben McLemore,SG,21,SAC,2670,363,831,130,160,219,996
451,Beno Udrih,PG,32,MEM,1494,246,505,87,102,88,605
234,Bernard James,C,29,DAL,158,12,27,20,23,17,44
48,Bismack Biyombo,C,22,CHO,1243,101,186,102,175,140,304
190,Blake Griffin,PF,25,LAC,2356,574,1144,311,427,196,1469
54,Bojan Bogdanovic,SF,25,BRK,1854,261,576,87,106,104,700
126,Boris Diaw,PF,32,SAS,1984,291,632,72,93,148,708
41,Bradley Beal,SG,21,WAS,2107,363,851,130,166,136,962
485,Brandan Wright,PF,27,PHO,858,120,207,40,60,54,280
36,Brandon Bass,PF,29,BOS,1929,344,683,169,214,140,866
116,Brandon Davies,PF,23,BRK,44,6,18,3,4,5,16
240,Brandon Jennings,PG,25,DET,1173,218,543,120,143,64,632
265,Brandon Knight,SG,23,PHO,347,51,143,24,29,21,147
396,Brandon Rush,SG,29,GSW,271,11,54,5,11,27,30
207,Brendan Haywood,C,35,CLE,119,14,30,7,13,17,35
387,Brian Roberts,PG,29,CHO,1330,176,452,66,74,75,480
286,Brook Lopez,C,26,BRK,2100,506,987,223,274,206,1236
78,Bruno Caboclo,SF,19,TOR,23,4,12,0,0,3,10
103,Bryce Cotton,PG,22,UTA,159,29,69,15,18,6,80
306,C.J. McCollum,SG,23,POR,973,159,365,51,73,81,424
317,C.J. Miles,SG,27,IND,1841,329,827,130,161,132,942
465,C.J. Watson,PG,30,IND,1422,181,417,138,167,107,570
474,C.J. Wilcox,SG,24,LAC,101,16,38,2,2,7,41
28,Cameron Bairstow,PF,24,CHI,64,3,14,4,5,8,10
270,Carl Landry,PF,31,SAC,1192,190,369,123,150,132,503
58,Carlos Boozer,PF,33,LAL,1692,371,743,94,150,184,836
19,Carmelo Anthony,SF,30,NYK,1428,358,806,189,237,87,966
73,Caron Butler,SF,34,DET,1623,161,396,55,61,120,460
297,Cartier Martin,SF,30,DET,198,15,53,0,0,20,36
359,Chandler Parsons,SF,26,DAL,2186,383,829,139,193,140,1037
161,Channing Frye,PF,31,ORL,1870,191,487,31,35,191,549
455,Charlie Villanueva,PF,30,DAL,678,150,362,20,35,64,403
69,Chase Budinger,SF,26,MIN,1286,169,390,67,81,72,457
14,Chris Andersen,C,36,MIA,1132,120,207,76,114,88,320
59,Chris Bosh,C,30,MIA,1556,343,745,179,232,69,928
102,Chris Copeland,SF,30,IND,828,112,310,33,45,78,309
131,Chris Douglas-Roberts,SG,28,LAC,103,5,21,8,8,14,19
244,Chris Johnson,SF,24,MIL,128,12,30,2,2,7,31
257,Chris Kaman,C,32,POR,1398,283,549,72,102,140,638
361,Chris Paul,PG,29,LAC,2857,568,1170,289,321,203,1564
205,Chuck Hayes,C,31,TOR,255,22,46,6,11,37,50
140,Cleanthony Early,SF,23,NYK,647,76,214,36,48,57,210
83,Clint Capela,C,20,HOU,90,14,29,4,23,14,32
491,Cody Zeller,C,22,CHO,1487,172,373,127,164,156,472
8,Cole Aldrich,C,26,NYK,976,144,301,50,64,122,338
62,Corey Brewer,SF,28,HOU,1407,249,580,113,148,111,666
237,Cory Jefferson,PF,24,BRK,531,75,167,31,54,61,183
